date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:34	81373/81373	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Nov%202024%2016:19:37%20GMT	https://banco.santander.cl/uploads/000/023/049/5f11a8f3-94bd-4a00-a117-bb11b01fbe1b/original/bg-abril-sc-chileautos-min.jpg	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/023/049/5f11a8f3-94bd-4a00-a117-bb11b01fbe1b/original/bg-abril-sc-chileautos-min.jpg	(from https://banco.santander.cl/personas/stylesheets/site-8fbe2a5bb1110baeb1150e9ab330769168fcf59b22bb1209b23bb0d638b35435.css)
13:19:35	1259/1259	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Nov%202024%2016:19:37%20GMT	https://banco.santander.cl/uploads/000/020/398/17abc29e-20da-4605-af03-e9168ab7fb36/original/str-error-contrast.svg	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/020/398/17abc29e-20da-4605-af03-e9168ab7fb36/original/str-error-contrast.svg	(from https://banco.santander.cl/personas/stylesheets/site-8fbe2a5bb1110baeb1150e9ab330769168fcf59b22bb1209b23bb0d638b35435.css)
13:19:35	1280/1280	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202024%2016:19:37%20GMT	https://banco.santander.cl/uploads/000/021/742/ba1944a2-8f37-4ca0-a703-7a411819066b/original/camiseta-icon.png	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/021/742/ba1944a2-8f37-4ca0-a703-7a411819066b/original/camiseta-icon.png	(from https://banco.santander.cl/personas/stylesheets/site-8fbe2a5bb1110baeb1150e9ab330769168fcf59b22bb1209b23bb0d638b35435.css)
13:19:36	6361/6361	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Nov%202024%2016:19:37%20GMT	https://banco.santander.cl/uploads/000/030/845/f0b339b7-ce7a-4158-91bc-365269d794c9/original/como-hacerlo-tutoriales-bg.jpg	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/030/845/f0b339b7-ce7a-4158-91bc-365269d794c9/original/como-hacerlo-tutoriales-bg.jpg	(from https://banco.santander.cl/personas/stylesheets/site-8fbe2a5bb1110baeb1150e9ab330769168fcf59b22bb1209b23bb0d638b35435.css)
13:19:36	116964/116964	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Nov%202024%2016:19:38%20GMT	https://banco.santander.cl/uploads/000/046/867/546a031d-40d9-48ca-910c-c829390673d1/original/img-piso-salmon.jpg	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/046/867/546a031d-40d9-48ca-910c-c829390673d1/original/img-piso-salmon.jpg	(from https://banco.santander.cl/personas/stylesheets/site-8fbe2a5bb1110baeb1150e9ab330769168fcf59b22bb1209b23bb0d638b35435.css)
13:19:36	333/333	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Nov%202024%2016:19:38%20GMT	https://banco.santander.cl/uploads/000/050/494/ec64bc35-c167-4c9d-a461-39c7ee0b0ea5/original/descubre-mas-pattern.svg	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/050/494/ec64bc35-c167-4c9d-a461-39c7ee0b0ea5/original/descubre-mas-pattern.svg	(from https://banco.santander.cl/personas/stylesheets/site-8fbe2a5bb1110baeb1150e9ab330769168fcf59b22bb1209b23bb0d638b35435.css)
13:19:37	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2030%20Nov%202024%2016:19:39%20GMT	https://banco.santander.cl/Unable%20to%20load%20target-vec.js	C:/My%20Web%20Sites/Shantander/banco.santander.cl/Unable%20to%20load%20target-vec.js	(from https://assets.adobedtm.com/c1b9100ea8e4/0cb058045019/launch-d648b6611f8a.min.js)
13:19:45	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2030%20Nov%202024%2016:19:47%20GMT	https://banco.santander.cl/Loading%20target-vec.js	C:/My%20Web%20Sites/Shantander/banco.santander.cl/Loading%20target-vec.js	(from https://assets.adobedtm.com/c1b9100ea8e4/0cb058045019/launch-d648b6611f8a.min.js)
13:19:46	7050/7050	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202024%2016:19:48%20GMT	https://banco.santander.cl/uploads/000/050/658/eee143ba-b639-4e86-a64d-f44f88ade09f/original/huincha-fraude.png	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/050/658/eee143ba-b639-4e86-a64d-f44f88ade09f/original/huincha-fraude.png	(from https://banco.santander.cl/personas/widget_manager/c48d044f-3bf2-4ee6-be98-7bd1666ea91e/93613be51538de8952fe29e1de2619281cf84f49c66162f995f93437dd390bfc.css)
13:19:47	2015/2015	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Nov%202024%2016:19:48%20GMT	https://banco.santander.cl/uploads/000/019/300/2dcca256-5e70-4a2f-a95b-8c74dc5012fc/original/str-travel-card_3_.svg	C:/My%20Web%20Sites/Shantander/banco.santander.cl/uploads/000/019/300/2dcca256-5e70-4a2f-a95b-8c74dc5012fc/original/str-travel-card_3_.svg	(from https://banco.santander.cl/personas/widget_manager/c48d044f-3bf2-4ee6-be98-7bd1666ea91e/93613be51538de8952fe29e1de2619281cf84f49c66162f995f93437dd390bfc.css)
